experiment,scenario,dataset,algorithm,value_quantifier,method_variant,artificial_low_count,interaction_order,equivalent_mc_paths,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,feature_subset_count,feature_subset_seed,replicates,runtime_seconds_mean,runtime_seconds_std,coalition_evaluation_requests_mean,coalition_evaluation_requests_std,unique_value_evaluations_mean,unique_value_evaluations_std,actual_value_function_calls_mean,actual_value_function_calls_std,total_marginal_samples_mean,total_marginal_samples_std,marginal_sample_reduction_vs_mc_mean,marginal_sample_reduction_vs_mc_std,request_reduction_vs_mc_mean,request_reduction_vs_mc_std,all_nmae_mean,all_nmae_std,all_rmse_mean,all_rmse_std,spearman_mean,spearman_std,high_nmae_mean,high_nmae_std,high_rmse_mean,high_rmse_std,high_recall_mean,high_recall_std,high_precision_mean,high_precision_std,low_recall_mean,low_recall_std,low_precision_mean,low_precision_std,tail_total_abs_error_mean,tail_total_abs_error_std,known_low_capture_ratio_mean,known_low_capture_ratio_std,candidate_low_screening_ratio_mean,candidate_low_screening_ratio_std,artificial_reference_low_rate_mean,artificial_reference_low_rate_std,verified_artificial_low_recall_mean,verified_artificial_low_recall_std,mean_true_high_samples_mean,mean_true_high_samples_std,mean_true_low_samples_mean,mean_true_low_samples_std,low_to_high_sampling_ratio_mean,low_to_high_sampling_ratio_std,max_estimated_certified_low_contribution_mean,max_estimated_certified_low_contribution_std,high_group_count_mean,high_group_count_std,low_group_count_mean,low_group_count_std,group_checks_mean,group_checks_std,triggered_coalition_audits_mean,triggered_coalition_audits_std,focused_selection_rate,adaptive_sampling_rate
g2_public_general,public_compatibility,wine,antithetic_mc,mutual_information,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,1.9446425666665164,0.13016676512877765,1300.0,0.0,890.0,6.928203230275509,890.0,6.928203230275509,1300.0,0.0,0.0,0.0,0.0,0.0,0.00953054844125389,0.0016733515008895562,0.013011544026097473,0.0028825615355149107,0.8131868131868133,0.07789805977339466,0.00953054844125389,0.0016733515008895562,0.013011544026097473,0.0028825615355149133,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,antithetic_mc,holdout_naive_bayes,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,0.08673153333256778,0.012817561308219292,1300.0,0.0,890.0,6.928203230275509,890.0,6.928203230275509,1300.0,0.0,0.0,0.0,0.0,0.0,0.0010710757780031557,0.00017207633401598502,0.0013610024227054714,0.00026280409353306167,0.9981684981684982,0.0031722542263166137,0.0010791631708640687,0.00012111672003473508,0.0013653947601593435,0.00024651866090757144,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0018953034947396113,0.0015877308568470643,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.025435647007017618,0.0004624766755262088,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,dtg_shapley,mutual_information,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,1.7977555999999215,0.03292220811666671,1306.0,4.0,891.6666666666666,10.692676621563626,891.6666666666666,10.692676621563626,1300.0,0.0,0.0,0.0,-0.0030769230769230513,0.003076923076923088,0.010312301698459517,0.0022526759332068425,0.013004514582573616,0.003121546812626347,0.816849816849817,0.07378475120323698,0.010312301698459515,0.002252675933206841,0.013004514582573616,0.003121546812626347,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,,0.0,13.0,0.0,0.0,0.0,24.0,0.0,0.6666666666666666,0.5773502691896257,0.0,0.0
g2_public_general,public_compatibility,wine,dtg_shapley,holdout_naive_bayes,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,0.11645846666760917,0.043458630718240354,1368.6666666666667,12.858201014657274,934.3333333333334,25.32455988429677,934.3333333333334,25.32455988429677,1300.0,0.0,0.0,0.0,-0.05128205128205132,0.009890923857428685,0.001441376384939172,0.000446739927093087,0.00178414094540692,0.00048416908084582613,0.9945054945054945,0.0,0.0014264577840275856,0.000453270796173558,0.0017052350918044966,0.0005716311263849476,1.0,0.0,0.8141025641025642,0.16355577977144967,0.4166666666666667,0.5204164998665332,0.6666666666666666,0.5773502691896257,0.00435866344858193,0.0016239642163062163,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.007064335591611951,0.025249049750934657,11.333333333333334,2.0816659994661326,1.6666666666666667,2.0816659994661326,24.0,0.0,10.0,3.0,0.0,0.0
g2_public_general,public_compatibility,wine,exact,mutual_information,default,0,0,0,0.04,relative,0.5,0.038461538461538464,0,11,1,17.756807699999626,0.0,0.0,0.0,8192.0,0.0,8192.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,exact,holdout_naive_bayes,default,0,0,0,0.04,relative,0.5,0.038461538461538464,0,11,1,1.5539657999997871,0.0,0.0,0.0,8192.0,0.0,8192.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.02544120051353427,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,kernel_shap,holdout_naive_bayes,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,0.11259883333271621,0.024851369420331632,1302.0,0.0,942.3333333333334,4.932882862316247,942.3333333333334,4.932882862316247,,0.0,,0.0,-0.0015384615384614886,0.0,0.0015609466226437247,0.00024650075592203284,0.001998697700812998,0.0003724549110313628,0.9926739926739927,0.00839299577830743,0.0017612252476794394,0.00014206688729216348,0.0021994279050747334,0.00038950765439596736,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.002794069664664491,0.0013315506068242485,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.02498866109926713,0.0022090093231862807,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,kernel_shap,mutual_information,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,1.732307366666646,0.09022946097868281,1302.0,0.0,942.3333333333334,4.932882862316247,942.3333333333334,4.932882862316247,,0.0,,0.0,-0.0015384615384614886,0.0,0.017578825294636034,0.002593532514876406,0.021228840789674408,0.0024081232587891627,0.6556776556776557,0.17975796274454167,0.017578825294636034,0.002593532514876406,0.021228840789674408,0.002408123258789163,0.923076923076923,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.03246890226721282,0.006366216466711903,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,mc,mutual_information,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,1.8175807333330642,0.06287092059953613,1300.0,0.0,885.6666666666666,10.692676621563626,885.6666666666666,10.692676621563626,1300.0,0.0,0.0,0.0,0.0,0.0,0.011849074021551664,0.003655750445002186,0.013722816687382558,0.004533894338833545,0.8205128205128206,0.06052275326688022,0.011849074021551664,0.0036557504450021863,0.01372281668738256,0.0045338943388335455,0.9743589743589745,0.04441155916843272,1.0,0.0,1.0,0.0,0.6666666666666666,0.5773502691896257,0.0,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,,0.0,,0.0,0.03788991330940893,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,mc,holdout_naive_bayes,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,0.0899150333328483,0.0020099639433649404,1300.0,0.0,885.6666666666666,10.692676621563626,885.6666666666666,10.692676621563626,1300.0,0.0,0.0,0.0,0.0,0.0,0.0019830541196355746,2.0882677402000806e-05,0.0025201851811426,0.0002529107649218244,0.9945054945054945,0.005494505494505475,0.001853084803879382,0.0003046181023598018,0.0023515385100151003,0.00042199247578185434,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0027730839236820453,0.002939435780815312,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.024318722193376874,0.001414460076208528,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,stratified,mutual_information,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,1.7780595666669494,0.3483578038395283,1302.0,0.0,908.0,6.244997998398398,908.0,6.244997998398398,650.0,0.0,0.5,0.0,-0.0015384615384614886,0.0,0.004518623178126623,0.0020515650544449715,0.005436203148270744,0.0022319337799564056,0.9523809523809524,0.02819561230465317,0.004518623178126623,0.0020515650544449715,0.0054362031482707435,0.0022319337799564056,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,50.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,stratified,holdout_naive_bayes,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,0.08589183333303178,0.013979412867819082,1302.0,0.0,908.0,6.244997998398398,908.0,6.244997998398398,650.0,0.0,0.5,0.0,-0.0015384615384614886,0.0,0.0023959180961827522,0.0007947774441586635,0.002907765133545922,0.000913146723958318,0.9908424908424909,0.0063445084526332915,0.0021673993224871706,0.0007765171364264585,0.002646337140859482,0.0009070670089862202,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00927488331803999,0.008150554962773187,,0.0,,0.0,,0.0,,0.0,50.0,0.0,50.0,0.0,1.0,0.0,0.02589145505144923,0.0034389733457818247,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,tmc,mutual_information,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,0.3596080666660176,0.09195708690879062,378.6666666666667,2.516611478423583,229.33333333333334,4.618802153517006,229.33333333333334,4.618802153517006,376.6666666666667,2.516611478423583,0.7102564102564103,0.0019358549834027525,0.7087179487179487,0.0019358549834027525,0.011862178844652188,0.0036808356021059176,0.013757523970738516,0.004562419137728911,0.8150183150183149,0.06646610736858628,0.011862178844652188,0.0036808356021059176,0.013757523970738516,0.004562419137728911,0.9743589743589745,0.04441155916843272,1.0,0.0,1.0,0.0,0.6666666666666666,0.5773502691896257,0.0,0.0,,0.0,,0.0,,0.0,,0.0,28.974358974358974,0.19358549834027494,,0.0,,0.0,0.037706175238333556,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
g2_public_general,public_compatibility,wine,tmc,holdout_naive_bayes,default,0,0,100,0.04,relative,0.5,0.038461538461538464,0,11,3,0.08877513333330474,0.01189172908274749,1289.0,3.0,884.6666666666666,12.342339054382412,884.6666666666666,12.342339054382412,1287.0,3.0,0.010000000000000009,0.002307692307692344,0.008461538461538446,0.0023076923076922884,0.0019985311319522152,5.1602098891187047e-05,0.002555641544199174,0.0002735415235471516,0.9945054945054945,0.005494505494505475,0.001811309798917019,0.00025520897630123716,0.002313295599584653,0.0004378540390204352,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0040005669105746475,0.0029082242688744805,,0.0,,0.0,,0.0,,0.0,99.74074074074075,0.06415002990995204,97.33333333333333,0.8779711460710616,0.9758670326478015,0.009376243773739234,0.02431275009261928,0.0014157604995107165,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,analytic_reference,dataset_default,default,16,0,0,0.04,relative,0.5,0.025,0,11,1,0.00017769999976735562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.006250000000000224,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,antithetic_mc,dataset_default,default,16,0,100,0.04,relative,0.5,0.025,0,11,5,0.013105719999657595,0.0042785903781178865,2000.0,0.0,1686.0,11.489125293076057,1686.0,11.489125293076057,2000.0,0.0,0.0,0.0,0.0,0.0,0.00039600000000004736,0.00011104053313993677,0.0011235112745135816,0.000310085504419531,0.6543160313029548,0.03708145482215501,0.001980000000000165,0.0005552026656996837,0.0025122475832997956,0.0006933722667193827,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.8588242884097783e-16,2.8777593299067094e-17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.00625000000000001,2.0707977669969863e-18,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,dtg_shapley,dataset_default,default,16,0,100,0.04,relative,0.5,0.025,0,11,5,0.018640639999648555,0.00038336892507063905,1287.6,38.1156135986291,974.8,44.1554073698794,974.8,44.1554073698794,676.8,19.05780679931455,0.6616,0.00952890339965724,0.3572,0.01905780679931457,0.002132696504985678,0.0002887116105196131,0.0026060221041166085,0.00032047639657367623,0.6788666999682775,0.03919306239793807,0.0028645429554545764,0.0011700065910570869,0.0030925584161601385,0.0011082807674045782,1.0,0.0,0.56,0.3286335345030997,0.5625,0.5134898976610932,0.6,0.5477225575051661,0.00898607143769144,0.0036444630911639333,0.5625,0.5134898976610932,0.5625,0.5134898976610932,1.0,0.0,0.5625,0.5134898976610932,100.0,0.0,17.3,1.1911129249571595,0.173,0.011911129249571594,0.010820992005251641,0.0017619985998315502,11.0,8.215838362577491,9.0,8.215838362577491,24.0,0.0,0.8,1.3038404810405297,0.0,1.0
l1_low_tail_scaling,contextual_tail,synthetic,kernel_shap,dataset_default,default,16,0,100,0.04,relative,0.5,0.025,0,11,5,0.03443223999965994,0.000941145197375898,2002.0,0.0,1768.8,4.207136793592526,1768.8,4.207136793592526,,0.0,,0.0,-0.0009999999999998899,0.0,0.0035798518813111176,0.0005088735469460854,0.004403989332045666,0.0007320177605201857,0.6628600890876613,0.06557118360323375,0.005355296927102363,0.0021168840548787594,0.005780252005186569,0.0022819006108099685,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.009314236970418579,0.00504923105327007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.01362355819356848,0.0011545717566446984,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,mc,dataset_default,default,16,0,100,0.04,relative,0.5,0.025,0,11,5,0.015330979999998818,0.002878182658436008,2000.0,0.0,1685.0,5.656854249492381,1685.0,5.656854249492381,2000.0,0.0,0.0,0.0,0.0,0.0,0.0010680000000000236,0.00029216540691875855,0.002589690000258754,0.0007837455761915163,0.6663019462142038,0.08272115970508491,0.004882500000000069,0.0014413088127635954,0.005783127765940405,0.0017544570893901774,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0013900000000001077,0.000938849029397426,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.006384999999999997,0.00013986600730699216,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,stratified,dataset_default,default,16,0,100,0.04,relative,0.5,0.025,0,11,5,0.0170019000001048,0.0024213053257026856,2002.0,0.0,1682.6,6.618156843109719,1682.6,6.618156843109719,1000.0,0.0,0.5,0.0,-0.0009999999999998899,0.0,0.0013670410853302954,0.0005213306689156223,0.0031918964229346635,0.0011777089919969774,0.6502509961984149,0.09212338979423852,0.00629738827769961,0.002547843117021898,0.007128605608580233,0.0026362300282726223,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0012451142569523844,0.00043886203952934127,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0,50.0,0.0,1.0,0.0,0.006517389314617152,0.00010043295532846319,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,tmc,dataset_default,default,16,0,100,0.04,relative,0.5,0.025,0,11,5,0.012766159999591764,0.0025414256368972883,1924.8,4.08656334834051,1685.0,5.656854249492381,1685.0,5.656854249492381,1922.8,4.08656334834051,0.03860000000000001,0.0020432816741702445,0.03760000000000001,0.0020432816741702445,0.0013049961386874364,0.0003402495956284205,0.002731614995992527,0.0007555901360501188,0.6787780522673473,0.08766101354962176,0.0050215357283755245,0.0014659189398326803,0.0060491769727057075,0.001698092657914644,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.005965574514164856,0.0016366672938350668,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,95.175,0.2554102092712819,0.95175,0.0025541020927128226,0.006170716694959324,0.0001422390828116324,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,analytic_reference,dataset_default,default,32,0,0,0.04,relative,0.5,0.013888888888888888,0,11,1,0.00021410000044852495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,0.0031249999999999967,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
l1_low_tail_scaling,contextual_tail,synthetic,antithetic_mc,dataset_default,default,32,0,100,0.04,relative,0.5,0.013888888888888888,0,11,5,0.03208947999992233,0.00134446663083835,3600.0,0.0,3353.6,6.985699678629192,3353.6,6.985699678629192,3600.0,0.0,0.0,0.0,0.0,0.0,0.0001333333333334256,8.897565210023459e-05,0.000501992198656717,0.00034641707609431907,0.546721836791026,0.00024807778256087323,0.0012000000000003737,0.0008007808689021493,0.0015059765959701513,0.0010392512282829571,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.887379141862766e-15,5.612359952858801e-16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0031249999999999963,2.48374603233007e-18,,0.0,,0.0,,0.0,,0.0,0.0,0.0
