case_id,experiment,scenario,dataset,algorithm,value_quantifier,method_variant,reference_group,seed,artificial_low_count,interaction_order,equivalent_mc_paths,feature_subset_count,feature_subset_seed,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,runtime_seconds,mode,high_group_count,low_group_count,group_checks,triggered_coalition_audits,coalition_evaluation_requests,unique_value_evaluations,actual_value_function_calls,total_marginal_samples,marginal_sample_reduction_vs_mc,request_reduction_vs_mc,known_low_capture_ratio,candidate_low_screening_ratio,reference_case_id,reference_algorithm,all_nmae,all_rmse,spearman,high_nmae,high_rmse,high_recall,high_precision,low_recall,low_precision,tail_total_abs_error,true_high_count,true_low_count,mean_true_high_samples,mean_true_low_samples,low_to_high_sampling_ratio,artificial_reference_low_rate,verified_artificial_low_recall,max_estimated_certified_low_contribution
g1_synthetic_general__balanced_interaction__synthetic__low0__seed67__dtg_shapley__b100__b89529a6456c,g1_synthetic_general,balanced_interaction,synthetic,dtg_shapley,dataset_default,default,balanced_interaction_low0_order0,67,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.013445500000671018,uniform_mc_natural_fallback,12,0,24,0,1202,774,774,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,8.0953762212251e-18,1.4444459513666495e-17,0.0,8.0953762212251e-18,1.4444459513666495e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed67__kernel_shap__b100__bc7849dd7a2e,g1_synthetic_general,balanced_interaction,synthetic,kernel_shap,dataset_default,default,balanced_interaction_low0_order0,67,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.01734299999952782,,,,,,1202,819,819,,,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.004182029557880582,0.005997833428966474,0.0,0.004182029557880582,0.005997833428966474,1.0,1.0,1.0,1.0,0,12,0,,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed67__mc__b100__f813fd89e531,g1_synthetic_general,balanced_interaction,synthetic,mc,dataset_default,default,balanced_interaction_low0_order0,67,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.006297300000369432,,,,,,1200,754,754,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0013499999999999981,0.0018371173070873823,0.0,0.0013499999999999981,0.0018371173070873823,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed67__stratified__b100__7efc582f3f73,g1_synthetic_general,balanced_interaction,synthetic,stratified,dataset_default,default,balanced_interaction_low0_order0,67,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.011200800001461175,,,,,,1202,737,737,600,0.5,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.001367435500299995,0.0017881184241346133,0.0,0.001367435500299995,0.0017881184241346133,1.0,1.0,1.0,1.0,0,12,0,50.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed67__tmc__b100__2d2a68f796a8,g1_synthetic_general,balanced_interaction,synthetic,tmc,dataset_default,default,balanced_interaction_low0_order0,67,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.00558660000024247,,,,,,1202,754,754,1200,0.0,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0013499999999999981,0.0018371173070873823,0.0,0.0013499999999999981,0.0018371173070873823,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed89__antithetic_mc__b100__4fc2d2ede1ad,g1_synthetic_general,balanced_interaction,synthetic,antithetic_mc,dataset_default,default,balanced_interaction_low0_order0,89,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.004876900000454043,,,,,,1200,750,750,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,2.0816681711721685e-17,2.4695704398186837e-17,0.0,2.0816681711721685e-17,2.4695704398186837e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed89__dtg_shapley__b100__58108eaa7b0b,g1_synthetic_general,balanced_interaction,synthetic,dtg_shapley,dataset_default,default,balanced_interaction_low0_order0,89,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.012108700000680983,uniform_mc_natural_fallback,12,0,24,0,1202,750,750,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,2.0816681711721685e-17,2.4695704398186837e-17,0.0,2.0816681711721685e-17,2.4695704398186837e-17,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed89__kernel_shap__b100__c128784be943,g1_synthetic_general,balanced_interaction,synthetic,kernel_shap,dataset_default,default,balanced_interaction_low0_order0,89,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.01548230000116746,,,,,,1202,798,798,,,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0047818608251598066,0.006001098010909646,0.0,0.0047818608251598066,0.006001098010909645,1.0,1.0,1.0,1.0,0,12,0,,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed89__mc__b100__13fe92cf38ce,g1_synthetic_general,balanced_interaction,synthetic,mc,dataset_default,default,balanced_interaction_low0_order0,89,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.006962400000702473,,,,,,1200,733,733,1200,0.0,0.0,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.001450000000000001,0.001697056274847709,0.0,0.001450000000000001,0.0016970562748477088,1.0,1.0,1.0,1.0,0,12,0,100.0,,,,,
g1_synthetic_general__balanced_interaction__synthetic__low0__seed89__stratified__b100__06fbf783bbd1,g1_synthetic_general,balanced_interaction,synthetic,stratified,dataset_default,default,balanced_interaction_low0_order0,89,0,0,100,0,11,0.04,relative,0.5,0.041666666666666664,0.00655939999887778,,,,,,1202,741,741,600,0.5,-0.0016666666666667052,,,g1_synthetic_general__balanced_interaction__synthetic__low0__seed11__analytic_reference__b0__04fe284a75d1,analytic_reference,0.0019590860348098565,0.00226456896448033,0.0,0.0019590860348098565,0.00226456896448033,1.0,1.0,1.0,1.0,0,12,0,50.0,,,,,
