experiment,scenario,dataset,algorithm,value_quantifier,artificial_low_count,interaction_order,equivalent_mc_paths,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,feature_subset_count,feature_subset_seed,replicates,runtime_seconds_mean,runtime_seconds_std,coalition_evaluation_requests_mean,coalition_evaluation_requests_std,unique_value_evaluations_mean,unique_value_evaluations_std,actual_value_function_calls_mean,actual_value_function_calls_std,total_marginal_samples_mean,total_marginal_samples_std,marginal_sample_reduction_vs_mc_mean,marginal_sample_reduction_vs_mc_std,request_reduction_vs_mc_mean,request_reduction_vs_mc_std,all_nmae_mean,all_nmae_std,all_rmse_mean,all_rmse_std,spearman_mean,spearman_std,high_nmae_mean,high_nmae_std,high_rmse_mean,high_rmse_std,high_recall_mean,high_recall_std,high_precision_mean,high_precision_std,low_recall_mean,low_recall_std,low_precision_mean,low_precision_std,tail_total_abs_error_mean,tail_total_abs_error_std,known_low_capture_ratio_mean,known_low_capture_ratio_std,candidate_low_screening_ratio_mean,candidate_low_screening_ratio_std,artificial_reference_low_rate_mean,artificial_reference_low_rate_std,verified_artificial_low_recall_mean,verified_artificial_low_recall_std,mean_true_high_samples_mean,mean_true_high_samples_std,mean_true_low_samples_mean,mean_true_low_samples_std,low_to_high_sampling_ratio_mean,low_to_high_sampling_ratio_std,max_estimated_certified_low_contribution_mean,max_estimated_certified_low_contribution_std,high_group_count_mean,high_group_count_std,low_group_count_mean,low_group_count_std,group_checks_mean,group_checks_std,triggered_coalition_audits_mean,triggered_coalition_audits_std,focused_selection_rate,adaptive_sampling_rate
structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,0,0,100,0.04,relative,0.5,0.01,50,23,1,30.305671000038274,0.0,5002.0,0.0,4349.0,0.0,4349.0,0.0,3954.0,0.0,0.20920000000000005,0.0,0.0,0.0,0.0007958200151359333,0.0,0.001078797884854458,0.0,0.8885954381752701,0.0,0.0004955200143659414,0.0,0.000851243087474528,0.0,1.0,0.0,0.5625,0.0,0.5625,0.0,1.0,0.0,0.008888704368979844,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,67.3125,0.0,0.673125,0.0,0.00535132337555286,0.0,32.0,0.0,18.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,0,0,100,0.04,relative,0.5,0.01,50,23,1,0.9938504000019748,0.0,5000.0,0.0,4784.0,0.0,4784.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0001107175830440261,0.0,0.0004615127444129133,0.0,0.9920288115246099,0.0,0.0005691795149236144,0.0,0.0010870460778214202,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00016647099822517109,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.00023786543381919324,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,0,0,100,0.04,relative,0.5,0.005,100,23,1,3.2290300999884494,0.0,10000.0,0.0,9827.0,0.0,9827.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.00017225603020081673,0.0,0.00043999032488946436,0.0,0.9937863227494325,0.0,0.0006801074820938198,0.0,0.0009293970760379184,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0006019247315076498,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0013871150963682436,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,0,0,100,0.04,relative,0.5,0.01,50,23,1,33.3393946000142,0.0,5000.0,0.0,4784.0,0.0,4784.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.00010709824857164254,0.0,0.00022716563272154932,0.0,0.9951980792316927,0.0,0.00019623398438116708,0.0,0.0003430390691326831,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.727924299149146e-05,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.008529524029654748,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,0,0,100,0.04,relative,0.5,0.005,100,23,1,107.63920179998968,0.0,10000.0,0.0,9827.0,0.0,9827.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.00020821036801379472,0.0,0.0003598059867339922,0.0,0.9926792679267927,0.0,0.0003287996217212173,0.0,0.0005064216709839669,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0011601388105740018,0.0,,0.0,,0.0,,0.0,,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.004852769113313991,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,0,0,600,0.04,relative,0.5,0.005,100,23,1,658.3286697999574,0.0,60000.0,0.0,58330.0,0.0,58330.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,600.0,0.0,600.0,0.0,1.0,0.0,0.00471912916078263,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,0,0,600,0.04,relative,0.5,0.01,50,23,1,194.2138561999891,0.0,30000.0,0.0,28047.0,0.0,28047.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,600.0,0.0,600.0,0.0,1.0,0.0,0.008169180759826429,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,0,0,600,0.04,relative,0.5,0.01,50,23,1,5.557918000005884,0.0,30000.0,0.0,28047.0,0.0,28047.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,600.0,0.0,600.0,0.0,1.0,0.0,0.000263437042834064,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,0,0,600,0.04,relative,0.5,0.005,100,23,1,19.11033729999326,0.0,60000.0,0.0,58330.0,0.0,58330.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,600.0,0.0,600.0,0.0,1.0,0.0,0.0012641643541889932,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,mutual_information,0,0,0,0.04,relative,0.5,0.005,100,23,1,0.3838469000183977,0.0,102.0,0.0,102.0,0.0,102.0,0.0,,0.0,,0.0,,0.0,0.0017799042833799635,0.0,0.0028973964892101928,0.0,0.8949239318692794,0.0,0.002790161864913064,0.0,0.004085339486927397,0.0,0.9333333333333333,0.0,0.8571428571428571,0.0,0.8727272727272727,0.0,0.9411764705882353,0.0,0.02384833513159651,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.004361075385110903,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
