case_id,experiment,scenario,dataset,algorithm,value_quantifier,seed,artificial_low_count,interaction_order,equivalent_mc_paths,feature_subset_count,feature_subset_seed,contribution_threshold,threshold_mode,relative_threshold_factor,effective_contribution_threshold,runtime_seconds,mode,high_group_count,low_group_count,group_checks,triggered_coalition_audits,coalition_evaluation_requests,unique_value_evaluations,actual_value_function_calls,total_marginal_samples,marginal_sample_reduction_vs_mc,request_reduction_vs_mc,known_low_capture_ratio,candidate_low_screening_ratio,reference_case_id,reference_algorithm,all_nmae,all_rmse,spearman,high_nmae,high_rmse,high_recall,high_precision,low_recall,low_precision,tail_total_abs_error,true_high_count,true_low_count,mean_true_high_samples,mean_true_low_samples,low_to_high_sampling_ratio,artificial_reference_low_rate,verified_artificial_low_recall,max_estimated_certified_low_contribution
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc__b100__6610d0393652,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,23,0,0,100,50,23,0.04,relative,0.5,0.01,33.3393946000142,,,,,,5000,4784,4784,5000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__36ed06d798d8,mc_reference,0.00010709824857164254,0.00022716563272154932,0.9951980792316927,0.00019623398438116708,0.0003430390691326831,1.0,1.0,1.0,1.0,6.727924299149146e-05,18,32,100.0,100.0,1.0,,,0.008529524029654748
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc__b100__c52dc16a39cd,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,23,0,0,100,100,23,0.04,relative,0.5,0.005,107.63920179998968,,,,,,10000,9827,9827,10000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__31a2fc738da9,mc_reference,0.00020821036801379472,0.0003598059867339922,0.9926792679267927,0.0003287996217212173,0.0005064216709839669,1.0,1.0,1.0,1.0,0.0011601388105740018,45,55,100.0,100.0,1.0,,,0.004852769113313991
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__31a2fc738da9,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,23,0,0,600,100,23,0.04,relative,0.5,0.005,658.3286697999574,,,,,,60000,58330,58330,60000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__31a2fc738da9,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,45,55,600.0,600.0,1.0,,,0.00471912916078263
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__36ed06d798d8,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,mutual_information,23,0,0,600,50,23,0.04,relative,0.5,0.01,194.2138561999891,,,,,,30000,28047,28047,30000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__36ed06d798d8,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,18,32,600.0,600.0,1.0,,,0.008169180759826429
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__7f0bef67a364,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,23,0,0,600,50,23,0.04,relative,0.5,0.01,5.557918000005884,,,,,,30000,28047,28047,30000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__7f0bef67a364,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,9,41,600.0,600.0,1.0,,,0.000263437042834064
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__ba91fa67b5aa,structured_text_public,documented_or_natural_low_tail,cnae_9,mc_reference,dataset_default,23,0,0,600,100,23,0.04,relative,0.5,0.005,19.11033729999326,,,,,,60000,58330,58330,60000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__ba91fa67b5aa,mc_reference,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,22,78,600.0,600.0,1.0,,,0.0012641643541889932
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__value_audit__b0__1e631bbc6262,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,mutual_information,23,0,0,0,100,23,0.04,relative,0.5,0.005,0.3838469000183977,value_audit,,,,,102,102,102,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__31a2fc738da9,mc_reference,0.0017799042833799635,0.0028973964892101928,0.8949239318692794,0.002790161864913064,0.004085339486927397,0.9333333333333333,0.8571428571428571,0.8727272727272727,0.9411764705882353,0.02384833513159651,45,55,,,,,,0.004361075385110903
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__value_audit__b0__32d210abba8e,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,mutual_information,23,0,0,0,50,23,0.04,relative,0.5,0.01,0.24572659999830648,value_audit,,,,,52,52,52,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__36ed06d798d8,mc_reference,0.0008328360268715701,0.0013245141634265112,0.692449614877408,0.0010668318807689709,0.0015053453179298606,0.7222222222222222,1.0,1.0,0.8648648648648649,0.003922629198331362,18,32,,,,,,0.009976916282404755
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__value_audit__b0__ae10de400d52,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,dataset_default,23,0,0,0,50,23,0.04,relative,0.5,0.01,0.0965456000121776,value_audit,,,,,52,52,52,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__7f0bef67a364,mc_reference,0.0010363741566375845,0.0027241260525427916,0.6695934769341221,0.004988531644907227,0.006395665485191465,0.8888888888888888,1.0,1.0,0.9761904761904762,0.004401184781618748,9,41,,,,,,0.00978123227470071
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__value_audit__b0__da314ed24d56,structured_text_public,documented_or_natural_low_tail,cnae_9,value_audit,dataset_default,23,0,0,0,100,23,0.04,relative,0.5,0.005,0.10378189999028109,value_audit,,,,,102,102,102,,,,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed23__mc_reference__b600__ba91fa67b5aa,mc_reference,0.0014719210443451707,0.0038590630550765495,0.7184735004821259,0.004530329465998805,0.007600601513923329,1.0,1.0,1.0,1.0,0.036197313668471745,22,78,,,,,,0.004147896305091416
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__dtg_shapley__b100__19da72a8d97c,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,42,0,0,100,50,42,0.04,relative,0.5,0.01,0.8542099000187591,adaptive_probability_sampling,20,30,24,0,4050,3240,3240,2176,0.5648,0.1904,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc_reference__b600__599101c4240a,mc_reference,0.00023448613395728147,0.0006093775760007375,0.9894595311262827,0.00022199122482785585,0.0003505631831859189,1.0,0.75,0.8571428571428571,1.0,0.0018765979040778046,15,35,100.0,19.314285714285713,0.19314285714285714,,,0.000696256594409959
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__dtg_shapley__b100__38fe174c61bb,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,dataset_default,42,0,0,100,100,42,0.04,relative,0.5,0.005,1.964483600022504,adaptive_probability_sampling,31,69,24,0,6778,5750,5750,3740,0.626,0.3224,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc_reference__b600__05f509890697,mc_reference,0.0001191061014511292,0.00029704204777223226,0.9861385307020067,0.00010448333857635713,0.00015772580034498064,1.0,0.6774193548387096,0.8734177215189873,1.0,0.00027743302378022833,21,79,100.0,20.759493670886076,0.20759493670886076,,,0.001832485219996267
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__dtg_shapley__b100__9d45d2927db3,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,42,0,0,100,50,42,0.04,relative,0.5,0.01,28.50557590002427,mixed_adaptive_and_natural_fallback,28,22,24,0,4826,3994,3994,3264,0.34719999999999995,0.03520000000000001,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc_reference__b600__20f92994901d,mc_reference,0.0006334787215529165,0.0008869499305721288,0.9492917166866747,0.00012520130741557457,0.00016594136783823198,1.0,0.5714285714285714,0.6470588235294118,1.0,0.0017359094191997104,16,34,100.0,48.94117647058823,0.4894117647058823,,,0.004286569516995159
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__dtg_shapley__b100__db0ed5410085,structured_text_public,documented_or_natural_low_tail,cnae_9,dtg_shapley,mutual_information,42,0,0,100,100,42,0.04,relative,0.5,0.005,91.34120299998904,mixed_adaptive_and_natural_fallback,100,0,24,3,9494,7787,7787,5898,0.4102,0.050799999999999956,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc_reference__b600__f7fcf29977f6,mc_reference,0.0003710245286338385,0.0005672697245185452,0.9339333933393339,0.0001415484505718673,0.00021540550518582145,1.0,0.33,0.0,0.0,0.0004335285581076598,33,67,100.0,38.776119402985074,0.38776119402985076,,,
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc__b100__16f9558ec7e9,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,mutual_information,42,0,0,100,50,42,0.04,relative,0.5,0.01,34.20170530001633,,,,,,5000,4785,4785,5000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc_reference__b600__20f92994901d,mc_reference,0.00021596699040408906,0.0006188048738966025,0.9995198079231693,0.0005829932463995481,0.0010889632405906627,0.9375,1.0,1.0,0.9714285714285714,9.392965974253098e-05,16,34,100.0,100.0,1.0,,,0.009946700408048466
structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc__b100__70d1cfe727e1,structured_text_public,documented_or_natural_low_tail,cnae_9,mc,dataset_default,42,0,0,100,100,42,0.04,relative,0.5,0.005,3.348884899984114,,,,,,10000,9826,9826,10000,0.0,0.0,,,structured_text_public__documented_or_natural_low_tail__cnae_9__low0__seed42__mc_reference__b600__05f509890697,mc_reference,8.75966692277985e-05,0.00029396130643278775,0.996480637510148,0.000299630769508269,0.0005913207489286523,1.0,0.9545454545454546,0.9873417721518988,1.0,3.159534863443961e-05,21,79,100.0,100.0,1.0,,,0.004710546500211282
